id,name,image,subtitle,url,created_at
34,Nice for What,https://c.saavncdn.com/375/Let-Me-Love-You-English-2019-20190808200508-150x150.jpg,The Party Hits All Stars - Let Me Love You,https://aac.saavncdn.com/375/46a74e6a7eaa7e7433b5608ddeeeb5f9_160.mp4,2024-01-15 08:26:46.467763+00
38,Nice for What,https://c.saavncdn.com/984/Nice-for-What-Single-English-2018-20180518205443-150x150.jpg,Power Music Workout - Nice for What - Single,https://aac.saavncdn.com/984/0621148a1730956c04f7bdb76bd99f9f_160.mp4,2024-01-15 08:26:46.679619+00
42,Nice for What,https://c.saavncdn.com/228/Instrumental-Vintage-Jazz-Piano-Classics-for-Dinner-Ambience-Unknown-2021-20230921104626-150x150.jpg,Restaurant Dining Piano Background - Instrumental Vintage Jazz Piano Classics for Dinner Ambience,https://aac.saavncdn.com/228/90a3c169305184059c4c84eaa0949d30_160.mp4,2024-01-15 08:26:46.776286+00
1222,bloody mary (lady gaga) (sped up version),https://c.saavncdn.com/433/bloody-mary-lady-gaga-sped-up-version-English-2022-20221215054759-150x150.jpg,sped up viral - bloody mary (lady gaga) (sped up version),https://aac.saavncdn.com/433/bafb079e000c0e2dfc778996ef8143ad_160.mp4,2024-02-03 15:28:53.202973+00
1226,Bloody Sweet,https://c.saavncdn.com/046/Leo-Telugu-Original-Motion-Picture-Soundtrack-English-2023-20231020123601-150x150.jpg,"Anirudh Ravichander, Siddharth Basrur - Leo (Telugu) (Original Motion Picture Soundtrack)",https://aac.saavncdn.com/046/9fb1d37ecb1c0ee3fca4a9605344da89_160.mp4,2024-02-03 15:28:53.300101+00
1230,Blood,https://c.saavncdn.com/523/Blood-Punjabi-2019-20211029043800-150x150.jpg,Pindu ft. Gur Sidhu - Blood,https://aac.saavncdn.com/523/059fd6dc8ecd1bac5306e823dd5199a0_160.mp4,2024-02-03 15:28:53.325234+00
1234,Bloody Hell,https://c.saavncdn.com/750/Rangoon-Full-Hindi-2017-150x150.jpg,Sunidhi Chauhan - Rangoon,https://aac.saavncdn.com/750/d872adb7ab3fc41689f229741d28cd03_160.mp4,2024-02-03 15:28:53.338875+00
35,Nice for what,https://c.saavncdn.com/641/606-808-English-2021-20211110050318-150x150.jpg,Dre_pezzy - 606 808,https://aac.saavncdn.com/641/6befdb129099388f6c259819778ecb07_160.mp4,2024-01-15 08:26:46.519383+00
39,Nice for What,https://c.saavncdn.com/485/Squad-Goal-Hits-English-2018-20180509185419-150x150.jpg,Billboard Top 100 Hits - Squad Goal Hits,https://aac.saavncdn.com/485/15254167d90568e273a6bc582b2d8ab3_160.mp4,2024-01-15 08:26:46.752949+00
43,Nice For What,https://c.saavncdn.com/154/Freedom-Cage-Unknown-2020-20210829115327-150x150.jpg,KDspuNKY - Freedom Cage,https://aac.saavncdn.com/154/693d498431e28088f1224f6ff12f7b0c_160.mp4,2024-01-15 08:26:46.791389+00
1223,Blood Sweat &amp; Tears,https://c.saavncdn.com/341/Proof-Korean-2022-20220614202104-150x150.jpg,BTS - Proof,https://aac.saavncdn.com/341/b104be8d793c60bf4c3e1197f5477bea_160.mp4,2024-02-03 15:28:53.211651+00
1227,Blood on the Dance Floor,https://c.saavncdn.com/027/BLOOD-ON-THE-DANCE-FLOOR-HIStory-In-The-Mix-English-1997-150x150.jpg,Michael Jackson - BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,https://aac.saavncdn.com/027/a9cd4deddffb101ff7c35cae92ed7d83_160.mp4,2024-02-03 15:28:53.300986+00
1231,Blood // Water,https://c.saavncdn.com/725/Blood-Water-English-2018-20190607042346-150x150.jpg,Grandson - Blood // Water,https://aac.saavncdn.com/725/b2d1dee60b5eb2df3f5b556fd1202c78_160.mp4,2024-02-03 15:28:53.325393+00
1235,Jatt Da Blood,https://c.saavncdn.com/563/Jatt-Da-Blood-Punjabi-2016-150x150.jpg,Mankirt Aulakh ft. Goldboy - Jatt Da Blood,https://aac.saavncdn.com/563/812d5c533ae33fc38ce4416f90c88c3a_160.mp4,2024-02-03 15:28:53.361123+00
36,Nice for What,https://c.saavncdn.com/264/40-Tabata-Hiit-Tracks-2018-20-Sec-Work-and-10-Sec-Rest-Cycles-with-Vocal-Cues--English-2018-20180607224110-150x150.jpg,Power Music Workout - 40 Tabata Hiit Tracks 2018 (20 Sec Work and 10 Sec Rest Cycles with Vocal Cues),https://aac.saavncdn.com/264/2befe09c9d6efbd20ff5c48abe912d5d_160.mp4,2024-01-15 08:26:46.549256+00
40,Nice For What,https://c.saavncdn.com/152/Scorpion-English-2018-20180701062706-150x150.jpg,Drake - Scorpion,https://aac.saavncdn.com/152/d6aae9ad38367c7799b685c0707cf7a6_160.mp4,2024-01-15 08:26:46.755918+00
44,Nice for What,https://c.saavncdn.com/122/Freaky-Friday-English-2019-20190808134444-150x150.jpg,The Party Hits All Stars - Freaky Friday,https://aac.saavncdn.com/122/b685dc4d21aed18a35e0b42af90ed176_160.mp4,2024-01-15 08:26:46.813644+00
45,Gods Plan,https://c.saavncdn.com/622/Gods-Plan-English-2018-20180510110532-150x150.jpg,DJ Glacier - Gods Plan,https://aac.saavncdn.com/622/3b6a75a4db739a8976c4ed74b98b2a9c_160.mp4,2024-01-15 19:14:18.782758+00
46,God's Plan,https://c.saavncdn.com/470/God-s-Plan-English-2018-20180202001109-150x150.jpg,Fame on Fire - God's Plan,https://aac.saavncdn.com/470/647d6bfd1257a813a4358638d681a339_160.mp4,2024-01-15 19:14:18.978589+00
47,God's Plan,https://c.saavncdn.com/577/God-s-Plan-Kizomba--English-2018-20180220184738-150x150.jpg,Kaysha - God's Plan (Kizomba),https://aac.saavncdn.com/577/759c3866b2dce99a83d0e45bcc65dc25_160.mp4,2024-01-15 19:14:18.982834+00
48,God's Plan,https://c.saavncdn.com/555/Today-s-Hip-Hop-Radio-Hits-English-2018-20180330150336-150x150.jpg,Rap Game - Today's Hip-Hop Radio Hits,https://aac.saavncdn.com/555/f3014774d8626707cc3230ad85aa32d5_160.mp4,2024-01-15 19:14:18.998909+00
49,God's Plan,https://c.saavncdn.com/921/Monday-Morning-Workout-Playlist-English-2019-20190218195450-150x150.jpg,Jonas Vermeulen - Monday Morning Workout Playlist,https://aac.saavncdn.com/921/38f39fa0e32b079bafdcc3a697574878_160.mp4,2024-01-15 19:14:19.015666+00
50,God's Plan,https://c.saavncdn.com/588/God-s-Plan-Single-English-2018-20180226202942-150x150.jpg,Power Music Workout - God's Plan - Single,https://aac.saavncdn.com/588/16e87c6477a5087f804054847749609c_160.mp4,2024-01-15 19:14:19.025933+00
